word,turkish_translation
behind,ardında
being,yaratık
being,can
being,varlık
belief,inanç
believe,inanmak
bell,çan
belly,karın
belly,göbek
beloved,aziz
beloved,sevgili
belt,kayış
belt,kemer
bench,bank
benefit,fayda
benefit,fayda
bestow,sunmak
betray,ihanet etmek
betray,ele vermek
better,daha
better,daha
bicycle,bisiklet
big,büyük
bikini,bikini
bill,gaga
bill,gaga
billion,milyar
bind,bağlamak
bind,birleştirmek
bind,ciltlemek
biochemistry,biyokimya
biotechnology,biyoteknoloji
bird,kuş
birth,doğum
birthday,doğum günü
biscuit,bisküvi
bishop,fil
bishop,piskopos
bite,ısırmak
bite,sokmak
bite,ısırmak
bite,sokmak
bitter,keskin
bitter,sert
bitter,şiddetli
bitter,acılı
bitter,acı
bitter,yakıcı
bizarre,tuhaf
bizarre,acayip
bizarre,garip
black,kara
black,zenci
black,siyah
black,kara
black,zenci
black,siyah
blanket,battaniye
blast,patlama
blast,patlama
bleed,kanamak
blind,kör
blind,ama
blind,gözsüz
blind,görme engelli
blind,âmâ
blind,görmez
blindly,körce
blindness,körlük
blog,web-kütüğü
blog,Web-kütüğü
blogger,blogcu
blonde,sarışın
blood,kan
blood,kan bağı
bloody,kanlı
bloody,kanlı
blossom,çiçek
blossom,bahar
blue,mavi
blue,gök
blue,kök
blue,mavi
blue,gök
blue,kök
board,bordalamak
board,tahta
board,borda
board,bordalamak
board,tahta
board,borda
boat,kayık
boat,sandal
body,vücut
body,beden
boil,çıban
boil,kaynatmak
bomb,bomba
bomb,bombalamak
bomb,bomba
bomb,bombalamak
bomber,bombacı
bone,kemik
book,albüm
book,kitap
book,betik
book,cilt
book,yer ayırma
book,albüm
book,kitap
book,betik
book,cilt
book,yer ayırma
bookcase,kitaplık
booklet,kitapçık
bookshop,kitabevi
bookstore,kitabevi
boot,çizme
boredom,can sıkıntısı
boring,sıkıcı
boss,patron
boss,şef
boss,ağa
botany,botanik
botany,bitki bilimi
both,hem... hem...
both,hem... hem...
both,hem... hem...
bother,külfet
bother,canını sıkmak
bother,rahatsız etmek
bother,külfet
bother,canını sıkmak
bother,rahatsız etmek
bottle,biberon
bottle,şişe
bottle,şişelemek
bottle,biberon
bottle,şişe
bottle,şişelemek
bottom,pasif
bottom,dip
bow,yay
bow,yay
box,kutu
boxer,boksör
boxing,boks
boy,velet
boy,oğlan
boyfriend,erkek arkadaş
boyfriend,arkadaş
boyfriend,sevgili
bra,sütyen
bracelet,bilezik
bracket,parantez
bracket,ayraç
brain,beyin
brain,akıl
brainstorming,beyin fırtınası
brake,fren
brake,eğleç
brake,fren
brake,eğleç
branch,dal
branch,şube
branch,kol
branch,dal
branch,şube
branch,kol
brass,pirinç
brave,alp
bravery,cesurluk
bravery,cesaret
bravery,cesurluk
bravery,cesaret
bread,ekmek
bread,ekmek parası
break,fırsat
break,kırılmak
break,kırmak
break,tatil
break,fırsat
break,kırılmak
break,kırmak
break,tatil
breakfast,kahvaltı
breast,göğüs
breast,bağır
breast,ayva
breast,meme
breath,dem
breath,soluk
breath,nefes
breathe,nefes almak
breathe,soluk almak
breathe,solumak
breathtaking,nefes kesici
breeze,çok kolay iş
breeze,çocuk oyuncağı
breeze,esinti
breeze,hafif rüzgâr
breeze,coşarak gitmek
breeze,meltem
breeze,hafif rüzgar
breeze,hafiften esmek
breeze,yel
breeze,püfür püfür esmek
brick,tuğla
bride,gelin
bright,parlak
bright,aydınlık
bring,getirmek
broadcaster,yayımcı
broccoli,brokoli
broken,kırık
broken,bölünmüş
broken,bozuk
bronze,bronz
bronze,tunç
brother,birader
brother,erkek kardeş
brother,kardeş
brotherhood,kardeşlik
brother-in-law,enişte
brother-in-law,bacanak
brother-in-law,kayın
brother-in-law,elti
brown,kahverengi
brown,kahverengi
browse,gözden geçirmek
browse,gözatmak
browse,otlamak
browser,gözatıcı
brush,fırça
brush,fırça
bucket,kova
bud,filiz
bud,sürgün
buddy,ahbap
budget,bütçe
budget,bütçe
bug,kızdırmak
bug,böcek
build,yapmak
build,inşa etmek
bull,boğa
bullet,mermi
bullet,kurşun
bunch,tayfa
burden,yük
burden,sorumluluk
burden,külfet
burden,zahmet
burden,yükümlülük
burden,yük
burden,sorumluluk
burden,külfet
burden,zahmet
burden,yükümlülük
bureau,şifonyer
bureaucracy,bürokrasi
burglar,hırsız
burn,yanmak
burn,yanmak
bus,otobüs
bus station,terminal
bus station,otogar
businessman,iş adamı
businesswoman,iş kadını
bust,büst
busy,yoğun
busy,meşgul
but,ama
but,yalnız
but,fakat
but,hariç
but,ancak
but,ama
but,yalnız
but,fakat
but,hariç
but,ancak
butcher,kasap
butcher,kasap
butter,tereyağı
butterfly,kelebek
button,tuş
button,düğmelemek
button,rozet
button,düğme
button,buton
buy,almak
buy,satın almak
by,-la
by,-le
cabbage,lahana
cable,kablo
cage,kafes
cake,pasta
cake,kek
calculation,hesaplama
calculator,hesap makinesi
calf,dana
calf,buzağı
calf,baldır
call,aramak
call,çağrı
call,aramak
call,çağrı
calm,sakin
camel,hecin
camel,deve
can,-abilmek
can,kutu
can,kap
can,konserve
can,-ebilmek
can,-abilmek
can,kutu
can,kap
can,konserve
can,-ebilmek
canal,kanal
canal,ark
cancer,kanser
candidate,aday
candle,mum
candy,şeker
cane,baston
canteen,matara
canteen,kantin
capacity,yetenek
capital,sermaye
capital,başkent
capital,anamal
capital,kapital
capital,büyük harf
capital,anapara
capital,büyük
captain,Yüzbaşı
captain,kaptan
captive,tutuklu
captive,hükümlü
captive,mahkum
captive,esir
car,araba
car,oto
car,otomobil
caravan,kervan
care,dikkat
care,özen
care,umrunda olmak
care,bakmak
care,ilgilenmek
care,dikkat
care,özen
care,umrunda olmak
care,bakmak
care,ilgilenmek
carefree,kaygısız
carefree,sorumsuz
careful,dikkatli
careless,kör
carpet,halı
carpet,kilim
carriage,araba
carrot,havuç
carve,oymak
case,kap
case,sandık
cash,para
cash,nakit
castle,Kamâl
castle,kale
castle,kermen
castle,kurgan
cat,kedi
cat,pisi
catalyst,katalizör
catastrophe,felaket
catch,kapmak
catch,kapmak
category,kategori
cathedral,katedral
cathedral,başkilise
cattle,sığır
cattle,davar
cause,neden
cause,sebep
cause,uğratmak
cause,neden
cause,sebep
cause,uğratmak
cautious,dikkatli
cave,mağara
cave,oyuk
ceiling,tavan
celebration,kutlama
celebration,Kutlama
celebrity,ünlü
cell,hücre
cell,cep
cell,cep telefonu
cellar,mahzen
cello,çello
cello,viyolonsel
cemetery,mezarlık
cemetery,kabristan
central,merkezi
central,orta
century,asır
century,yüzyıl
ceremony,ayin
ceremony,tören
ceremony,merasim
ceremony,seremoni
certain,kesin
certain,belli
chain,zincir
chair,iskemle
chair,makam
chair,sandalye
chair,koltuk
chairman,başkan
challenge,meydan okuma
challenge,meydan okumak
challenge,meydan okuma
challenge,meydan okumak
champagne,şampanya
champion,şampiyon
championship,şampiyona
championship,şampiyonluk
chance,fırsat
change,değişmek
change,değişiklik
change,değişmek
change,değişiklik
channel,kanal
chapter,bölüm
character,karakter
charge,ücret
charge,ücret
chariot,savaş arabası
charm,efsun
charm,afsun
charm,büyü
charm,büyülemek
charming,büyüleyici
charming,alımlı
chart,tablo
chart,cetvel
chase,peşinden koşmak
chase,kovalamak
chase,peşinde koşma
chase,takip
chase,kovalama
chase,peşinden koşmak
chase,kovalamak
chase,peşinde koşma
chase,takip
chase,kovalama
chat,kasavan
chat,konuşma
chat,sohbet
chat,söyleşi
chat,kasavan
chat,konuşma
chat,sohbet
chat,söyleşi
cheap,ucuz
cheat,oyunbaz
cheat,çıfıt
check,çek
check,çek
cheek,yanak
cheerful,şen
cheerful,renkli
cheese,peynir
chef,şef
chemical,kimyevî
chemical,kimyasal
chemical,kimyevî
chemical,kimyasal
chemist,kimyacı
cheque,çek
cherry,kiraz rengi
cherry,kiraz kerestesi
cherry,kiraz
chess,satranç
chest,göğüs
chest,kutu
chest,sandık
chest,kasa
chest,tabut
chest of drawers,şifonyer
chew,çiğnemek
chewing gum,çiklet
chewing gum,ciklet
chewing gum,sakız
chicken,piliç
chicken,tavuk
chief,ağa
chief,ağa
child,çocuk
child,velet
child,kızan
childhood,çocukluk
chimney,baca
chimney,ocak
chimpanzee,şempanze
chin,çene
chocolate,çikolata
chocolate,çikolatalı
choice,seçim
choke,bogmak
choke,indirimli
choke,bastırma
choose,seçmek
Christian,Hristiyan
church,kilise
cigarette,sigara
cinema,film
cinema,sinematografi
cinema,sinema
circle,göbek
circle,daire
circle,çember
circle,halka
circle,göbek
circle,daire
circle,çember
circle,halka
circuit,devre
circus,sirk
city,kent
city,şehir
claim,iddia etmek
claim,öne sürmek
claim,sav
claim,iddia etmek
claim,öne sürmek
claim,sav
clam,istiridye
clap,şak
clarify,temizlenmek
clarify,arınmak
clarify,arındırmak
clarify,temizlemek
clarify,halletmek
clarify,çözmek
class,sınıf
classroom,sınıf
clean,ak
clean,temizlemek
clean,temiz
clean,ak
clean,temizlemek
clean,temiz
clear,aşikar
clear,net
clear,ıskalamak
clear,belli
clear,netleştirmek
clear,açık
clear,aşikar
clear,net
clear,ıskalamak
clear,belli
clear,netleştirmek
clear,açık
clever,becerikli
click,tık
click,tıklamak
click,tık
click,tıklamak
client,istemci
client,müvekkil
cliff,uçurum
cliff,yar
climate change,iklim değişikliği
clinic,klinik
close,kapatmak
close,örtmek
close,yakın
close,kapatmak
close,örtmek
close,yakın
cloth,kumaş
clothes,giysi
clothes,örtüler
cloudy,bulutlu
clown,palyaço
club,sinek
club,gece kulübü
club,kulüp
clumsy,hantal
coach,koç
coach,koç
coal,kömür
coalition,koalisyon
coarse,kaba
coarse,öküz
coast,deniz kıyısı
coast,sahil
coast,kıyı
coast,deniz kenarı
coast,kızak için uygun yokuş
coast,kızakla yokuştan kayma
coast,deniz kıyısı
coast,sahil
coast,kıyı
coast,deniz kenarı
coast,kızak için uygun yokuş
coast,kızakla yokuştan kayma
coat,kap
cocktail,kokteyl
coconut,hindistan cevizi
coconut,Hindistan cevizi
cod,morina
code,kod
coffee,kahve
coffin,tabut
coincidence,tesadüf
coincidence,rastlantı
cola,kola
cold,soğuk
cold,soğuk
collar,yaka
colleague,meslektaş
colleague,çalışma arkadaşı
collect,katılmak
collect,toplamak
collection,koleksiyon
collection,toplama
college,kolej
colon,iki nokta üst üste
colon,kolon
column,cetvel
comb,petek
comb,tarak
comb,ibik
comb,petek
comb,tarak
comb,ibik
combination,birleşim
combination,kombinasyon
come,gelmek
comedy,komedi
comfort,rahat
comfortable,ak
comfortable,rahat
comma,virgül
command,emir
commander,emir
comment,yorum
comment,yorum
commercial,reklam
commercial,reklam
committee,kurul
common sense,sağduyu
commonly,sıkça
commonly,sık sık
community,topluluk
community,toplum
companion,yoldaş
companion,ahbap
company,dernek
company,şirket
company,işletme
company,dernekçi
compare,karşılaştırmak
compensation,ödence
compensation,tazminat
competition,yarışma
complaint,şikayet
complaint,yakınma
complement,tamamlama
complement,tekmil etmek
complement,tamamlamak
complement,tekmil
complete,bütün
complete,tamamlamak
complete,tüm
complete,tamam
complete,bütün
complete,tamamlamak
complete,tüm
complete,tamam
completely,tamamen
complex,karmaşık
complex,karışık
complexity,karmaşıklık
complexity,karmaşık
complicated,çetin
compliment,övgü
compliment,iltifat
compliment,iltifat etmek
compound,bileşik kelime
compound,karışım
compound,birleşik kelime
compound,bileşim
comprehension,anlayış
comprehensive,samil
comprehensive,kapsayici
comprehensive,muhtasar
compromise,anlaşmak
compromise,uzlaşma
compromise,ödün
compromise,tehlikeye atmak
compromise,tâviz
compromise,ödün vermek
compromise,taviz
compromise,taviz vermek
compromise,uzlaşmak
compromise,ara bulmak
compromise,tâviz vermek
compromise,anlaşmak
compromise,uzlaşma
compromise,ödün
compromise,tehlikeye atmak
compromise,tâviz
compromise,ödün vermek
compromise,taviz
compromise,taviz vermek
compromise,uzlaşmak
compromise,ara bulmak
compromise,tâviz vermek
conceal,gizlemek
concede,teslim etmek
concede,itiraf etmek
concede,ödün vermek
concede,taviz vermek
conceivable,akla uygun
conceivable,düşünülebilir
conceivable,makul
concentration,derişim
concentration,konsantrasyon
concentration,motivasyon
concern,kaygı
concern,şaşkınlık
concern,özen
concern,cesaretsizlik
concern,önyargı
concern,alaka
concern,endişe
concern,kaygı
concern,şaşkınlık
concern,özen
concern,cesaretsizlik
concern,önyargı
concern,alaka
concern,endişe
concerning,için
conclude,bitirmek
concrete,dongu
concrete,beton
concrete,dongu
concrete,beton
condemn,lanetlemek
condition,şart
condition,koşul
condition,durum
conductor,iletken
conductor,kondüktör
cone,kozalak
cone,koni
confess,itiraf etmek
confidence,güven
conflict,kavga
confuse,karıştırmak
confused,amsalak
confusion,karışıklık
conscious,uyanık
conscious,farkında
conscious,bilinçli
conscious,ayık
consciousness,bilinç
consensus,oybirliği
consequence,sonuç
consequently,böylece
conservative,sağ
consonant,ünlü harf
consonant,ünsüz harf
consonant,sessiz harf
consonant,sessiz
consonant,ünsüz
constitute,meydana getirmek
constitute,tayin etmek
constitute,oluşturmak
constitute,seçmek
constitute,teşkil etmek
constitute,atamak
constitute,oluşmak
consume,tüketmek
consume,yoğaltmak
consumer,tüketici
consumption,yoğaltım
container,kap
contemporary,çağdaş
contemporary,modern
contest,müsabaka
contest,yarışma
contest,yarış
continue,sürmek
continue,devam etmek
continue,sürdürmek
continuous,sürekli
continuous,devamlı
contribution,katılım payı
contribution,katkı
control,kontrol etmek
control,kumanda etmek
control,kontrol
control,kontrol etmek
control,kumanda etmek
control,kontrol
controversial,ihtilaflı
controversial,tartışmalı
controversial,çelişmeli
controversy,cidal
controversy,tartışma
controversy,ihtilaf
convenient,elverişli
convenient,rahat
convenient,uygun
convenient,kullanışlı
convenient,muvfafık
convenient,münasip
conversation,konuşma
conversation,diyalog
conversation,muhabbet
conversation,sohbet
conversation,söyleşi
convert,dönüştürmek
convert,değiştirmek
convert,çevirmek
convey,iletmek
convey,aktarmak
convince,convince
cook,aşçı
cook,aşçı
cookie,kurabiye
cooking,aşçılık
cool,soğukkanlı
cool,soğutmak
cool,serinletmek
cool,serinleşmek
cool,soğumak
cool,sakin
cool,serin
cool,serinlemek
cool,soğukkanlı
cool,soğutmak
cool,serinletmek
cool,serinleşmek
cool,soğumak
cool,sakin
cool,serin
cool,serinlemek
copy,örnek
copy,kopya
copy,örnek
copy,kopya
coral,mercan
corn,dari
corn,kokoroz
corn,mısır
corn,nasır
cornet,külah
correct,haklı
correct,düzeltmek
correct,haklı
correct,düzeltmek
corridor,aralık
corridor,koridor
cotton,pamuk
couch,kanepe
cough,öksürmek
cough,öksürük
cough,öksürmek
cough,öksürük
council,meclis
count,saymak
count,kont
count,saymak
count,kont
country,kırsal
country,ülke
country,memleket
country,taşra
country,el
country,eyalet
courage,cesaret
courage,göt
court,mahkeme
court,saray
court,kort
cover,kap
cover,kapak
cover,kap
cover,kapak
cow,sığır
cow,inek
crab,yengeç
crack,yara
crack,yara
craft,zanaat
craft,sanat
crawl,emeklemek
crazy,deli
crazy,çılgın
cream,krem
cream,döl
cream,kaymak
cream,krem rengi
cream,krem
cream,döl
cream,kaymak
cream,krem rengi
crease,kırışıklık
create,yaratmak
creative,yaratıcı
creativity,yaratıcılık
creator,yaratıcı
creature,yaratık
creepy,ürkünç
creepy,ürpertici
creepy,ürkütücü
crew,takım
crime,suç
criminal,suçlu
criminal,kriminal
criminal,suçlu
criminal,kriminal
cripple,sakat
crisis,kriz
criticism,tenkit
criticism,eleştiri.
crocodile,timsah
crop,tereke
cross,çarpı
cross,istavroz
cross,çarmıh
cross,karşı
cross,çapraz
cross,haç
cross,karşısında
cross,çarpı
cross,istavroz
cross,çarmıh
cross,karşı
cross,çapraz
cross,haç
cross,karşısında
crow,kazayağı
crow,karga
crowd,kalabalık
crowded,kalabalık
crown,taç
cruel,zalim
cry,avaz
cry,ağlamak
cry,ağlama
cry,avaz
cry,ağlamak
cry,ağlama
cube,küp
cube,küpünü almak
cube,küpü
cubism,kübizm
cucumber,hıyar
cucumber,salatalık
culture,kültür
culture,medeniyet
cup,kase
cup,kâse
cup,fincan
cupboard,dolap
cure,tedavi
cure,kür
cure,tedavi
cure,kür
curiosity,merak
curious,meraklı
curly,kıvırcık
currency,para birimi
curriculum,müfredat
curry,köri
curry,köri sosu
cursor,imleç
curtain,perde
curtain,perdelemek
curve,eğri
curve,kıvrım
curve,kıvrılmak
cushion,yastık
cushion,minder
custom,adet
customer,alıcı
customer,müşteri
cut,kesik
cut,kesme
cut,kesmek
cut,kesim
cut,kesik
cut,kesme
cut,kesmek
cut,kesim
cute,tatlı
cycling,bisiklet
cyclist,bisikletçi
dad,babalık
daddy,babalık
daddy,baba
daisy,papatya
dam,set
dam,bent
dam,baraj
damage,zarar
damage,zarar
damp,nemli
damp,"nemli, rutubetli"
damp,"nem, rutubet"
damp,rutubetli
dance,dans
dance,bar
dance,dans etmek
dance,dans
dance,bar
dance,dans etmek
dancer,dansçı
dandelion,karahindiba
danger,tehlike
dangerous,tehlikeli
dark,karanlık
dark,koyu
dark,kara
darling,aziz
darling,sevgili
darling,aziz
darling,sevgili
data,veri
date,tarih
date,hurma
date,randevu
date,gün
date,buluşma
date,tarih
date,hurma
date,randevu
date,gün
date,buluşma
daughter,kız
daughter-in-law,gelin
dawn,tan
dawn,şafak
day,gün
day,gündüz
daylight,gün
daylight,gün ışığı
daylight,gündüz
daytime,gün
daytime,نَهَارُ
daytime,gündüz
dead,ölmüş
dead,ölü
deaf,sağır
dear,pahalı
dear,biricik
dear,sayın
dear,aziz
dear,sevgili
dear,değerli
dear,pahalı
dear,biricik
dear,sayın
dear,aziz
dear,sevgili
dear,değerli
death,ölüm
debate,münazara
debate,tartışma
debate,müzakere
debate,tartışmak
debris,yıkıntı
debris,enkaz
decade,onlu
decay,çürümek
decay,fenalaşmak
December,Kanuni Evvel
